Venue,Date,Description,Location,
Top Rail Ballroom,12/13/02,,"Dallas, TX",
Coupland Dancehall,12/14/02,with Two Tons of Steel,"Coupland, TX",
Adair's Saloon,12/15/02,,"Dallas, TX",
Poor David's Pub,12/19/02,,"Dallas, TX",
Greek Brothers,12/21/02,,"El Campo, TX",
Gypsy Tea Room,12/27/02,,"Dallas, TX",
Thirsty Armadillo,12/29/02,,"Fort Worth, TX",
Texas Theater,12/31/02,,"Waxahachie, TX",
Firehouse Saloon,1/3/03,,"Houston, TX",
Brindley Auditorium,1/10/03,,"Belton, TX",
Carney's Pub,1/14/03,,"College Station, TX",
Poor David's Pub,1/15/03,,"Dallas, TX",
Steamboat,1/19/03,,"Austin, TX",
City Limits,1/24/03,,"Stephenville, TX",
Executive Surf Club,2/1/03,,"Corpus Christi, TX",
Bash Rip Rocks,2/7/03,,"Lubbock, TX",
Club Western,2/9/03,,"Midland, TX",
Blanco's,2/13/03,,"Houston, TX",
City Hall,2/19/03,,"Stephenville, TX",
Curbcheckers,2/22/03,,"Katy, TX",
Thirsty Armadillo,2/23/03,with Randy Rogers,"Fort Worth, TX",
Saengerhalle,2/28/03,with Hayes Carll,"New Braunfels, TX",
Texas Exes,3/2/03,,"Washington, DC",
Anheuser Busch Convention,3/4/03,,"Dallas, TX",
Blue Light Live,3/6/03,,"Lubbock, TX",
Blue Light Live,3/7/03,,"Amarillo, TX",
White Elephant,3/8/03,,"Fort Worth, TX",
SXSW Showcase,3/13/03,,"Austin, TX",
Concrete Street Amphitheater,3/14/03,with Pat Green,"Corpus Christi, TX",
Puffabelly's,3/19/03,,"Spring, TX",
Edgar's Tavern,3/20/03,,"Lewisville, TX",
Thirsty Armadillo,3/22/03,,"Fort Worth, TX",
Greek Brothers,3/28/03,,"El Campo, TX",
Blanco's,4/3/03,,"Houston, TX",
Chilifest,4/4/03,,"Snook, TX",
Ozona,4/5/03,,"Dallas, TX",
Fitzwilly's,4/9/03,,"College Station, TX",
Threadgill's,4/11/03,with Dale Watson,"Austin, TX",
Auslander Biergarten,4/12/03,,"Fredericksburg, TX",
Floore's Country Store,4/19/03,,Helotes TX,
Blue Light Live,4/26/03,,"Lubbock, TX",
Innkeeper,5/3/03,,"Wharton, TX",
Puffabelly's,5/7/03,,"Spring, TX",
Poor David's Pub,5/14/03,,"Dallas, TX",
Edgar's Tavern,5/15/03,,"Lewisville, TX",
Gypsy Tea Room,5/17/03,,"Dallas, TX",
River Road Ice House,5/20/03,,"New Braunfels, TX",
Party on the Plaza,5/22/03,,"Houston, TX",
Reign EC,5/23/03,,"Denton, TX",
City Hall,6/4/03,,"Stephenville, TX",
McGonigel's Mucky Duck,6/6/03,,"Houston, TX",
Cheddar's,6/10/03,,"Midland, TX",
Crosby Rodeo,6/13/03,with Kevin Fowler,"Crosby, TX",
Carney's Pub,6/17/03,,"College Station, TX",
Innkeeper,6/20/03,with Asleep at the Wheel,"Wharton, TX",
Bash Rip Rocks,6/27/03,,"Lubbock, TX",
Private   ,6/28/03,,"Austin, TX",
Shriner's Auditorium,7/5/03,with Roger Creager,"San Antonio, TX",
Pappasitos,7/10/03,,"Houston, TX",
Auslander Biergarten,7/11/03,,"Fredericksburg, TX",
Cheatham Street Warehouse,7/12/03,,"San Marcos, TX",
Adair's Saloon,7/15/03,,"Dallas, TX",
93Q,7/17/03,,"Houston, TX",
Private   ,7/25/03,,"Corpus Christi, TX",
Private   ,7/26/03,,"Corpus Christi, TX",
Greek Brothers,8/1/03,,"El Campo, TX",
Red Moon ,8/2/03,,"Ennis, TX",
Puffabelly's,8/6/03,,"Spring, TX",
Blanco's,8/7/03,,"Houston, TX",
Sam Houston Race Park,8/8/03,with Jack Ingram and Deryl Dodd,"Houston, TX",
Cheatham Street Warehouse,8/14/03,,"San Marcos, TX",
Texas Theater,8/15/03,,"Waxahachie, TX",
Private   ,8/16/03,,"Concan, TX",
First Yell,9/6/03,,"College Station, TX",
Firehouse Saloon,9/6/03,,"Houston, TX",
Carney's Pub,9/9/03,,"College Station, TX",
City Limits,9/12/03,,"Stephenville, TX",
